model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.908±0.023,0.686±0.013,0.682±0.016,0.682±0.016,0.66±0.03s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.932±0.058,0.818±0.009,0.706±0.014,0.706±0.014,0.82±0.22s

// Full
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.867±0.037,0.785±0.011,0.721±0.015,0.721±0.015,0.66±0.12s
// w/o feat
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.883±0.006,0.881±0.009,0.716±0.013,0.716±0.013,1.19±0.42s
// w/o label
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.948±0.022,0.670±0.012,0.656±0.015,0.656±0.015,0.63±0.02s
// w/o dynamic gate
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.907±0.070,0.788±0.010,0.709±0.017,0.709±0.017,0.94±0.50s

// LP
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.903±0.017,0.697±0.013,0.686±0.015,0.686±0.015,0.62±0.02s
// Mean
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.858±0.039,0.798±0.012,0.717±0.015,0.717±0.015,0.65±0.13s


// struct missing
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.920±0.011,0.857±0.010,0.712±0.014,0.712±0.014,1.72±0.57s
